Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
3,28,100,87.93,86.07,67.21,61.18
2,"28, 30",81,87.25,75,55.5,58.63
2,"28, 31",100,100,85,67,67
2,"28, 31",77.9,100,92.43,57.44,68.49
2,"28, 31",100,100,92.17,68.43,68.43
2,"28, 33",100,100,93.27,68.65,68.65
2,"28, 31",100,100,84,66.8,66.8
2,28,100,100,93.4,68.68,68.68
2,"28, 31",100,86,92.8,68.56,61.56
1,28,,100,100,,70
2,"28, 31",77.5,100,81.67,55.08,66.33
2,28,84.25,85.71,88.6,59.85,60.58
2,"28, 33",100,100,96.67,69.33,69.33
3,30,100,100,83.93,66.79,66.79
4,"1, 2, 22, 26",61.51,60.61,83.93,48.34,47.89
4,"1, 4, 5, 22, 32",0,38.45,83.93,17.59,36.81
5,7,,88.78,83.93,,61.98
5,"7, 27",,71.43,83.93,,53.3
5,"1, 2, 26",,72.71,83.93,,53.94
