Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
3,"1,9,10,14,26",,96,93.5,,66.7
3,"10,14",,90.63,94.83,,64.28
3,"1,9,10,14",,89.13,88.33,,62.23
1,"2,3,10,14,23",,100,100,,70
3,"10,14,17",,100,93.57,,68.71
4,"1,2,14,26",,34.51,87.93,,34.84
4,"14,22,26,32",,0,87.93,,17.59
5,"7,14,23",,100,87.93,,67.59
5,"14,27",,91.67,87.93,,63.42
5,"2,14",,89.74,87.93,,62.46
