Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1,9,11,12,13,15,17",100,91.43,95.5,69.1,64.82
2,"5,9,13,17,19",66.66,63.33,95.92,52.51,50.85
2,"1,3,9,22",100,100,93.05,68.61,68.61
2,"3,9,10",99.4,88.84,96.7,69.04,63.76
2,"3,9,11,21",100,99.01,86.33,67.27,66.77
2,"9,17",100,100,79.83,65.97,65.97
2,"9,17",81.75,95.8,84.83,57.84,64.87
2,"5,9,11,13",66.68,40,81.87,49.71,36.37
2,"1,8,9,13,21",66.67,60,78.13,48.96,45.63
4,"1,2,9,26",44.34,59.42,87.93,39.76,47.3
4,"9,22,26,32",50,71.13,87.93,42.59,53.15
5,"7,9,23",,100,87.93,,67.59
5,"9,27",,73.53,87.93,,54.35
5,"2,9",,77.67,87.93,,56.42
