Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1, 3, 5, 7, 11, 17, 23, 24",100,100,94.68,68.94,61.45
2,"1, 3, 5, 7, 11, 17, 23, 24",100,89.63,83.17,66.63,58.72
2,"1, 3, 5, 23, 24",80,85,81.1,56.22,67.38
2,"1, 3, 5, 7, 11, 17, 23, 24",100,100,86.9,67.38,63.73
2,"1, 3, 5, 7, 11, 17, 23, 24",100,90,93.63,68.73,70
1,"1, 2, 11, 17, 18, 20, 23, 24",,100,100,,50.92
1,"1, 2, 5, 11, 17, 20, 23, 24",,66.67,87.93,,70
1,"1, 5, 11, 17, 18, 20, 23, 24, 29",,100,100,,70
1,"1, 3, 5, 11, 16, 17, 18, 20, 23, 24",,100,100,,70
1,"1, 3, 5, 11, 16, 17, 20, 23, 24",,100,100,,58.18
2,"1, 3, 5, 7, 11, 17, 23, 24",100,82,85.9,67.18,60.27
2,"1, 3, 5, 7, 11, 17, 23, 24",80.78,82.69,94.62,59.31,58.94
4,"1, 3, 5, 7, 11, 17, 23, 24",94.47,82.7,87.93,64.82,42.01
4,"1, 3, 5, 7, 11, 17, 23, 24",22.47,48.85,87.93,28.82,63.55
5,"1, 3, 5, 7, 11, 17, 23, 24",,92.55,87.93,,63.86
5,"1, 3, 5, 7, 11, 17, 23, 24",,81.52,87.93,,61.71
5,"1, 3, 5, 7, 11, 17, 23, 24",,88.24,87.93,,
