Perspective,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Metric_Characterization_H1,Metric_Characterization_H2,Metric_Score
2,20,66.68,97.9,95.5,52.44,68.05
2,"20,16",100,85.98,92.17,68.43,61.42
2,"33,20",83.33,,87.33,59.13,
2,20,100,75,85,67,54.5
4,20,91.54,100,80,61.77,66
4,1,99.1,82.85,87.93,67.14,59.01
4,"5,6,",50,50,87.93,42.59,42.59
5,"7,22",,97.14,87.93,,66.16
5,27,,92,87.93,,63.59
5,"2,1,22",,92.38,87.93,,63.78
