Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1, 3, 4, 7, 11, 17, 23, 24",100,95,95.38,69.08,66.58
2,"1, 3, 4, 7, 11, 17, 23, 24",79.5,92.5,89,57.55,64.05
2,"1, 3, 4, 7, 11, 17, 23, 24",80,100,91.33,58.27,68.27
2,"1, 3, 4, 7, 11, 17, 23, 24",100,100,87.83,67.57,67.57
1,"1, 2, 3, 4, 11, 17, 18, 23, 24",,100,100,,70
1,"1, 2, 3, 4, 11, 16, 17, 18, 23, 24",,100,100,,70
3,"1, 3, 17, 23",100,,82.5,66.5,
3,"1, 3, 7, 11, 17, 23",87.5,,78.33,59.42,
2,"1, 3, 4, 7, 11, 17, 23, 24",91,80,86.83,,57.37
2,"1, 3, 4, 7, 11, 17, 23, 24",100,100,93.78,,68.76
4,"1, 3, 4, 7, 11, 17, 23, 24",86.72,65.82,87.93,,50.5
4,"1, 3, 4, 7, 11, 17, 23, 24",100,100,87.93,,67.59
5,"1, 3, 4, 7, 11, 17, 23, 24",,89.8,87.93,,62.49
5,"1, 3, 4, 7, 11, 17, 23, 24",,91.07,87.93,,63.12
5,"1, 3, 4, 7, 11, 17, 23, 24",,96.07,87.93,,65.62
