Perspective,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Metric_Characterization_H1,Metric_Characterization_H2,Metric_Score
2,"21,17",,60,88.33,,47.67
2,"13,21",,100,87.83,,67.57
2,"21,15,13",,100,87.5,,67.5
4,1,,83.61,87.93,,59.39
4,"5,6,",,0,87.93,,17.59
5,"7,22",,100,87.93,,67.59
5,27,,87.5,87.93,,61.34
5,"2,1,22",,92.77,87.93,,63.97
