Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"3,7,11,23",100,98,91.6,68.32,67.32
2,"11,33",100,100,97.65,69.53,69.53
2,"11,12,17,20,23",100,100,75.1,65.02,65.02
2,"11,12,17,27",100,100,95.28,68.91,69.06
2,"11,16,23,24",81.06,100,79.8,56.49,65.96
2,"1,11,12,19,26",100,100,95.87,69.17,69.17
1,"11,22,26,28",,100,100,,70
1,"11,12,17,32",,100,100,,70
1,"2,11,17",,100,100,,70
2,"1,3,11,12,18",100,89.24,83.43,66.69,61.31
2,"1,3,11,26",100,100,79.23,65.85,65.85
2,"11,17,23,33",100,100,85.97,67.19,67.19
2,"11,13,20",100,100,96.78,69.36,69.36
4,"1,2,11,26",98.88,80.7,87.93,67.03,57.94
4,"11,22,26,32",0,5.83,87.93,17.59,20.5
5,"7,11,23",,100,87.93,,67.59
5,"11,27",,87.5,87.93,,61.34
5,"2,11",,78.94,87.93,,57.06
