Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1, 3, 4, ,5, 11, 17, 23, 24",81.25,100,84.08,57.44,66.82
2,"1, 3, 4, ,5, 11, 17, 23, 24",92.95,100,93.28,65.13,68.66
2,"1, 3, 4, ,5, 7, 11, 17, 23",100,100,95.98,69.2,69.2
2,"1, 3, 4, ,5, 11, 17, 23, 24",100,100,93.42,68.68,68.68
2,"1, 3, 5, 11, 17, 23",100,97,85.77,67.15,65.65
2,"1, 3, 4, ,5, 7, 11, 17",100,100,90.4,68.08,68.08
2,"1, 3, 4, 5, 11, 17, 23",95.75,98.12,91.07,66.09,67.27
2,"1, 3, 4, 5, 11, 23",100,100,87.5,67.5,67.5
2,"1, 3, 5, 11, 17, 23, 24",50,75,91.57,43.31,55.81
1,"1, 2, 3, 4, 5, 11, 17, 18, 20",,100,100,,70
2,"1, 3, 4, 5, 11, 23, 24",100,100,79.6,65.92,65.92
2,"1, 3, 4, 5, 11, 23, 24",100,94.89,72.33,64.47,61.91
4,"1, 3, 4, 5, 11, 23",100,94.1,87.93,67.59,64.64
4,"1, 3, 4, 5, 11, 17, 23, 24",0,0,87.93,17.59,17.59
5,"1, 3, 5, 7, 11, 23",,97.48,87.93,,66.33
5,"1, 3, 5, 7, 11, 23, 24",,94.12,87.93,,64.65
5,"1, 3, 5, 7, 23, 24",,91.56,87.93,,63.37
