Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
4,"1, 25, 26",100,100,91.42,68.28,68.28
4,"1, 25, 26",100,99.6,89.27,67.85,67.65
4,"1, 25, 26",100,98.85,92.78,68.56,67.98
4,"1, 25, 26",100,100,94.27,68.85,68.85
4,"17, 19, 25",99.99,100,81.6,66.32,66.32
1,"17, 19, 25",,100,100,,70
4,"1, 25, 26",100,100,91.67,68.33,68.33
4,"1, 25, 27",0,62.5,79,15.8,47.05
4,"1, 2, 22, 26",100,93.48,87.93,67.59,64.33
4,"1, 4, 5, 22, 32",0,0,87.93,17.59,17.59
5,7,,98.62,87.93,,66.9
5,"7, 27",,87.1,87.93,,61.14
5,"1, 2, 26",,94.52,87.93,,64.85
