Perspective,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Metric_Characterization_H1,Metric_Characterization_H2,Metric_Score
2,"13,15",73.75,88.25,92,55.28,62.53
2,"16,37",100,100,87.2,67.44,67.44
2,"16,15",50,100,95,44,69
2,"15,16",72,88.25,90.17,54.03,62.16
2,"16,2",100,100,89.83,67.97,67.97
1,16,,100,100,,70
1,22,,100,100,,70
1,"16,22",,100,100,,70
2,"15,13",100,,87.5,67.5,
2,16,100,100,76.67,65.33,65.33
2,"16,37",76.2,99.34,86.63,55.43,67
3,"37,16",,100,82.5,,66.5
4,1,83.35,56.67,87.93,59.26,45.92
4,"5,6,",90,55.52,87.93,22.09,45.35
5,"7,22",,93.08,87.93,,64.13
5,27,,73.44,87.93,,54.31
5,"2,1,22",,77.01,87.93,,56.09
