Perspective,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Metric_Characterization_H1,Metric_Characterization_H2,Metric_Score
2,18,50.83,100,98.83,45.18,69.77
2,"18,24",100,100,85,67,67
2,"18,16",100,95,93.27,68.65,66.15
2,"18,15",100,100,78.67,65.73,65.73
2,18,86.44,97.6,92.33,61.69,67.27
2,18,100,100,84,66.8,66.8
2,"18,5",100,100,87.9,67.58,67.58
4,1,85.97,72.29,87.93,60.57,53.73
4,"5,6,",50,50,87.93,42.59,42.59
5,"7,22",,87.9,87.93,,61.54
5,27,,91.67,87.93,,63.42
5,"2,1,22",,82.18,87.93,,58.68
