Perspective,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Metric_Characterization_H1,Metric_Characterization_H2,Metric_Score
2,"12,3",95,94.09,96.2,66.74,66.29
2,"15,17",100,100,88.83,67.77,67.77
2,"15,17,28",100,100,85.67,67.13,67.13
2,"28,31",100,100,84.6,66.92,66.92
2,"15,28,31",100,68.57,82.07,66.41,50.7
1,"15,16",,100,0,,70
1,"3,12",,100,100,,70
2,"15,17",100,100,92.12,68.42,68.42
2,"16,18",100,100,83.6,66.72,66.72
2,"16,18",100,100,81.4,66.28,66.28
4,1,95.83,69.72,87.93,65.5,52.45
4,"5,6,",30.96,96.02,87.93,33.07,65.6
5,"7,22",,83.12,87.93,,59.15
5,27,,81.82,87.93,,58.5
5,"2,1,22",,84.41,87.93,,59.79
