Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"2, 24, 27",100,100,83.23,66.65,66.65
2,"2, 22, 23, 24, 27",100,99.46,97.45,69.49,69.22
2,"2, 22, 23, 24, 27",100,100,87.67,67.53,67.53
2,"2, 7, 22, 24, 36",75,91.43,92,55.9,64.12
2,"2, 22, 23, 24, 27",100,100,82.77,66.55,66.55
2,"7, 22, 23, 24, 36",100,100,91.13,68.23,68.23
2,"2, 7, 22, 24",100,100,91.83,68.37,68.37
1,"1, 2, 5, 22",,50,87.93,,42.59
1,"2, 22, 23, 24, 27",,100,100,,70
1,"2, 4, 22, 23, 24",,100,100,,70
1,"7, 22, 24",,100,100,,70
1,"23, 24, 27",,100,100,,70
1,"2, 7, 22, 23, 24, 27",,100,100,,70
1,"2, 7, 22, 23, 24, 27",,100,100,,70
1,"2, 7, 22, 23, 24",,100,100,,70
1,"2, 7, 22, 24, 27",,100,100,,70
1,"2, 7, 22, 23, 24",,100,100,,70
1,"2, 9, 22, 24",,100,100,,70
2,"2, 22, 23, 24",66.67,100,85.27,50.39,67.05
2,"2, 22, 23, 24",100,100,78.65,65.73,65.73
4,"1, 2, 22, 26",100,94.15,87.93,67.59,64.66
4,"1, 4, 5, 22, 32",50,33.49,87.93,42.59,34.33
5,7,,95.37,87.93,,65.27
5,"7, 27",,97.97,87.93,,66.57
5,"1, 2, 26",,93.56,87.93,,64.37
