Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"3,11,12,17",100,100,97.85,69.57,69.57
2,"3,11,12,27",100,100,91.12,68.22,68.22
2,"12,17,23",100,100,83.4,66.68,66.68
2,"12,19,23,36",100,100,83.03,66.61,66.61
2,"3,12,17",80.75,100,82.47,56.87,66.49
2,"3,12,17,23,27",78.75,100,90.6,57.5,68.12
1,"12,22",,91.82,87.93,,63.49
1,"3,12,23,27,32",,100,100,,70
2,"1,2,12,17,32",100,99.47,95,69,68.74
2,"12,22,23",100,100,82.37,66.47,66.47
2,"3,11,12,27",100,94,84.17,66.83,63.83
4,"1,2,12,26",77.23,85.47,87.93,56.2,60.32
4,"12,22,26,32",0,30.42,87.93,17.59,32.8
5,"7,12,23",,93.57,87.93,,64.37
5,"12,27",,72.5,87.93,,53.84
5,"2,12",,75.77,87.93,,55.47
