Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
3,"1, 2, 22",71.42,100,94.48,54.61,68.9
3,"1, 2, 3, 22",100,100,83.53,66.71,66.71
3,"2, 3",99.62,98.46,82.2,66.25,65.67
3,"3, 4, 22, 24",100,100,82.67,66.53,66.53
2,"1, 12, 17, 22, 23, 27",100,100,89.85,67.97,67.97
2,"3, 23, 24, 27",95.83,100,87.57,65.43,67.51
2,"23, 24, 27",83.5,100,95.22,60.79,69.04
2,"23, 24, 27",100,100,87.8,67.56,67.56
3,"2, 22",91.67,97.62,97.17,65.27,68.24
3,"1, 2, 22, 24, 27",0,97.39,94.17,18.83,67.53
3,"1, 22",100,100,79.1,65.82,65.82
2,"3, 9, 12, 13, 22, 24",100,100,82.33,66.47,66.47
3,"1, 2, 22, 24, 27",100,100,91.22,68.24,68.24
3,"2, 17, 22",83.34,100,88.2,59.31,67.64
2,"1, 2, 3, 22, 27",100,,87.8,67.56,
3,"1, 3, 4, 5, 9, 13",100,100,87.93,67.59,67.59
1,"1, 2, 3, 17, 22",,100,100,,70
1,"1, 2, 22, 24, 27",,100,100,,70
1,"1, 2, 5, 17, 22",,100,100,,70
1,"1, 2, 22, 24, 27",,100,100,,70
1,"1, 2, 3, 22, 24",,100,100,,70
3,"28, 29, 30, 31, 32",100,,87.93,67.59,
2,"5, 9, 12, 13, 17, 22",100,100,87.93,67.59,67.59
3,"1, 3, 4, 5, 9, 12",100,100,87.93,67.59,67.59
3,"1, 3, 4, 5, 7, 32",33.33,20,87.93,34.25,27.59
4,"1, 2, 22, 26",100,97.15,87.93,67.59,66.16
4,"1, 4, 5, 22, 32",50,50,87.93,42.59,42.59
5,7,,91.6,87.93,,63.39
5,"7, 27",,85.29,87.93,,60.23
5,"1, 2, 26",,78.09,87.93,,56.63
