Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1, 27",99.76,99.92,98.15,69.51,69.59
2,"1, 27",100,100,86.17,67.23,67.23
2,27,100,100,79.07,65.81,65.81
2,17,100,100,86.8,67.36,67.36
1,"17, 19, 25",,100,100,,70
1,17,,100,100,,70
1,17,,100,100,,70
1,17,,100,100,,70
2,17,99.88,100,91.22,68.18,68.24
2,"1, 27",,97.9,87.8,,66.51
4,"1, 2, 22, 26",100,86.26,87.93,67.59,60.72
4,"1, 4, 5, 22, 32",13.86,7.05,87.93,24.52,21.11
5,7,,99.16,87.93,,67.17
5,"7, 27",,97.06,87.93,,66.12
5,"1, 2, 26",,95.47,87.93,,65.32
