Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1,10,14",100,100,79.47,65.89,51.81
3,"3,10",100,70,84.07,66.81,67.36
2,"10,23",100,100,86.8,67.36,64.31
3,"1,9,10,14,15,19,22",90,92,91.57,63.31,48.77
3,"10,14,17",83.33,,93.57,60.38,
3,"1,10,14,27",75,62.2,88.33,55.17,67.36
2,"10,27",75,100,86.8,54.86,47.49
2,"3,10,14",40,60,87.47,37.49,70
1,"1,3,7,10",,100,100,,70
1,"7,10,23,27",,100,100,,70
1,"1,2,22,23,26",,100,100,,70
1,"2,10,12,15,17,22,26",,100,100,,47.81
2,"5,9,10,12,17",100,60,89.07,67.81,59.13
3,"10,14",62.5,85,83.17,47.88,66.61
2,"3,10,12,23",100,100,83.03,66.61,56.91
4,"1,2,10,26",88.3,78.65,87.93,61.74,42.59
4,"10,22,26,32",50,50,87.93,42.59,67.59
5,"7,10,23",,96.34,87.93,,65.76
5,"10,27",,85,87.93,,61.1
5,"2,10",,87.02,87.93,,
