Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"2, 22, 23, 24",79.75,100,81.1,56.1,66.22
2,"2, 22, 23, 24, 27",82,100,90.72,59.14,68.14
2,"2, 22, 23, 24",82.5,100,75.03,56.26,65.01
2,"2, 4, 22, 24",75,100,83.77,54.25,66.75
2,"2, 22, 23, 24",100,100,93.07,68.61,68.61
2,"2, 22, 23, 24, 27",83.87,99.91,95.38,61.01,69.03
2,"2, 22, 23, 24",100,81,82.17,66.43,56.93
2,"2, 22, 23, 24, 27",100,100,83.8,66.76,66.76
2,"1, 2, 23, 24, 35, 36",100,100,91.27,68.25,68.25
2,"1, 23, 24, 36",100,87.5,88.58,67.72,61.47
1,"1, 11, 24, 27",,100,100,,70
1,"23, 24, 35, 36",,100,100,,70
1,"23, 24",,100,100,,70
1,"23, 27",,100,100,,70
1,"1, 24",,100,100,,70
1,"23, 24",,100,100,,70
2,"23, 24",100,100,90.9,68.18,68.18
2,"23, 24",97.4,99.18,93.32,67.36,68.25
2,"23, 24,",100,100,91.2,68.24,68.24
2,"23, 24",100,100,89.7,67.94,67.94
4,"1, 2, 22, 26",100,97.03,87.93,67.59,66.1
4,"1, 4, 5, 22, 32",0,0,87.93,17.59,17.59
5,7,,96.27,87.93,,65.72
5,"7, 27",,78.26,87.93,,56.72
5,"1, 2, 26",,85.01,87.93,,60.09
