Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
4,"1, 26",100,100,90.43,68.09,68.09
4,"1, 26",75,100,93.73,56.25,68.75
4,26,100,100,93.5,68.7,68.7
4,"1, 26",100,100,93.07,68.61,68.61
1,"1, 26",,80.56,87.93,,57.86
1,"1, 26",,100,100,,70
3,22,100,100,80.6,66.12,66.12
5,26,100,50,73.67,64.73,39.73
4,"1, 2, 22, 26",100,96.15,87.93,67.59,65.66
4,"1, 4, 5, 22, 32",30.4,50,87.93,32.79,42.59
5,7,,92.86,87.93,,64.02
5,"7, 27",,69.23,87.93,,52.2
5,"1, 2, 26",,91.3,87.93,,63.24
