Perspective,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Metric_Characterization_H1,Metric_Characterization_H2,Metric_Score
2,"19,17",79,85,84.33,56.37,59.37
2,"24,19",100,100,83.33,66.67,66.67
2,"24,19",100,100,91.53,68.31,68.31
2,24,90.48,100,89.38,63.11,67.88
2,"24,19",100,100,85,67,67
1,"24,19",,100,100,,70
1,"6,19",,100,100,,70
1,19,,100,100,,70
1,"19,17",,100,100,,70
2,19,100,88.67,88.67,67.73,59.92
2,19,100,100,89.25,67.85,67.85
2,19,100,100,91.4,68.28,68.28
4,1,92.11,82.33,87.93,63.64,58.75
4,"5,6,",0,0,87.93,17.59,17.59
5,"7,22",,97.02,87.93,,66.1
5,27,,75,87.93,,55.09
5,"2,1,22",,95.05,87.93,,65.11
