Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1, 3, 4, 5, 6, 11, 17, 23, 24",89,100,92.12,62.92,68.42
2,"1, 3, 4, 5, 6, 11, 17, 23, 24",100,98.1,82.17,66.43,65.48
2,"1, 3, 4, 5, 6, 11, 17, 23, 24",40,100,93.85,38.77,68.77
2,"1, 3, 4, 5, 6, 11, 17, 23, 24",100,100,89,67.8,67.8
2,"1, 3, 4, 5, 6, 11, 17, 23, 24",100,95,85.3,67.06,64.56
1,"1, 3, 4, 5, 11, 23, 24",,100,100,,70
1,"1, 3, 4, 5, 11, 16, 17, 23, 24",,100,100,,70
2,"1, 3, 5, 17, 23, 24",100,100,92.07,68.41,68.41
2,"1, 3, 4, 5, 6, 11, 17, 23, 24",97.36,100,85.5,65.78,67.1
4,"1, 3, 4, 5, 6, 17, 23, 24",71.01,74.95,87.93,53.09,55.06
4,"1, 3, 4, 5, 6, 17, 23, 24",31.81,16.64,87.93,33.49,25.91
5,"1, 3, 4, 5, 6, 17, 23, 24",,91.96,87.93,,63.57
5,"1, 3, 4, 5, 6, 17, 23, 24",,71.88,87.93,,53.53
5,"1, 3, 4, 5, 6, 17, 23, 24",,81.16,87.93,,58.17
