Start_Node,End_Node,Weight
1,2,7000.0
1,11,7000.0
1,17,7000.0
1,23,7000.0
1,24,7000.0
1,2,7000.0
1,4,7000.0
1,5,7000.0
1,11,7000.0
1,17,7000.0
1,18,7000.0
1,20,7000.0
1,2,7000.0
1,4,7000.0
1,5,7000.0
1,11,7000.0
1,17,7000.0
1,18,7000.0
1,20,7000.0
1,24,7000.0
1,2,551.8
1,4,551.8
1,5,551.8
1,11,551.8
1,17,551.8
1,18,551.8
1,20,551.8
1,23,551.8
1,24,551.8
1,2,7000.0
1,4,7000.0
1,5,7000.0
1,11,7000.0
1,17,7000.0
1,18,7000.0
1,20,7000.0
1,23,7000.0
1,24,7000.0
1,2,7000.0
1,4,7000.0
1,5,7000.0
1,11,7000.0
1,17,7000.0
1,18,7000.0
1,20,7000.0
1,23,7000.0
1,24,7000.0
1,3,7000.0
1,4,7000.0
1,5,7000.0
1,7,7000.0
1,11,7000.0
1,17,7000.0
1,18,7000.0
1,20,7000.0
1,23,7000.0
1,24,7000.0
2,1,7000
2,3,7000
2,4,7000
2,5,7000
2,11,7000
2,17,7000
2,18,7000
2,20,7000
2,23,7000
2,24,7000
4,1,5092.0
4,2,5092.0
4,11,5092.0
4,17,5092.0
4,18,5092.0
4,20,5092.0
4,23,5092.0
4,24,5092.0
4,1,4666.900000000001
4,2,4666.900000000001
4,5,4666.900000000001
4,11,4666.900000000001
4,17,4666.900000000001
4,20,4666.900000000001
4,23,4666.900000000001
4,24,4666.900000000001
4,1,7000.0
4,5,7000.0
4,11,7000.0
4,17,7000.0
4,18,7000.0
4,20,7000.0
4,23,7000.0
4,24,7000.0
4,29,7000.0
4,1,7000.0
4,3,7000.0
4,5,7000.0
4,11,7000.0
4,16,7000.0
4,17,7000.0
4,18,7000.0
4,20,7000.0
4,23,7000.0
4,24,7000.0
4,1,5818.0
4,3,5818.0
4,5,5818.0
4,11,5818.0
4,16,5818.0
4,17,5818.0
4,20,5818.0
4,23,5818.0
4,24,5818.0
5,1,7000
5,2,7000
5,3,7000
5,4,7000
5,11,7000
5,17,7000
5,18,7000
5,23,7000
5,24,7000
5,1,7000
5,2,7000
5,3,7000
5,4,7000
5,11,7000
5,16,7000
5,17,7000
5,18,7000
5,23,7000
5,24,7000
6,1,7000
6,2,7000
6,3,7000
6,4,7000
6,5,7000
6,11,7000
6,17,7000
6,18,7000
6,20,7000
7,1,7000
7,3,7000
7,4,7000
7,5,7000
7,11,7000
7,23,7000
7,24,7000
7,1,7000
7,3,7000
7,4,7000
7,5,7000
7,11,7000
7,16,7000
7,17,7000
7,23,7000
7,24,7000
8,23,7000
8,24,7000
8,26,7000
8,3,7000
8,23,7000
8,27,7000
10,1,7000.0
10,3,7000.0
10,7,7000.0
10,7,7000.0
10,23,7000.0
10,27,7000.0
10,1,7000.0
10,2,7000.0
10,22,7000.0
10,23,7000.0
10,26,7000.0
10,2,4781.0
10,12,4781.0
10,15,4781.0
10,17,4781.0
10,22,4781.0
10,26,4781.0
11,22,7000
11,26,7000
11,28,7000
11,12,7000
11,17,7000
11,32,7000
11,2,7000
11,17,7000
12,22,5829.6518
12,3,7000.0
12,23,7000.0
12,27,7000.0
12,32,7000.0
13,16,3576.912
13,22,3576.912
13,5,7000.0
13,15,7000.0
13,16,7000.0
13,17,7000.0
13,22,7000.0
13,23,7000.0
13,17,7000.0
13,22,7000.0
13,22,7000.0
13,29,7000.0
13,2,7000.0
13,22,7000.0
13,28,7000.0
14,2,7000
14,3,7000
14,10,7000
14,23,7000
22,1,7000
22,2,7000
22,3,7000
22,17,7000
22,1,7000
22,2,7000
22,24,7000
22,27,7000
22,1,7000
22,2,7000
22,5,7000
22,17,7000
22,1,7000
22,2,7000
22,24,7000
22,27,7000
22,1,7000
22,2,7000
22,3,7000
22,24,7000
23,1,2129.5
23,2,2129.5
23,5,2129.5
23,22,2129.5
23,2,7000.0
23,22,7000.0
23,24,7000.0
23,27,7000.0
23,2,7000.0
23,4,7000.0
23,22,7000.0
23,24,7000.0
23,7,7000.0
23,22,7000.0
23,24,7000.0
23,24,7000.0
23,27,7000.0
23,2,7000.0
23,7,7000.0
23,22,7000.0
23,24,7000.0
23,27,7000.0
23,2,7000.0
23,7,7000.0
23,22,7000.0
23,24,7000.0
23,27,7000.0
23,2,7000.0
23,7,7000.0
23,22,7000.0
23,24,7000.0
23,2,7000.0
23,7,7000.0
23,22,7000.0
23,24,7000.0
23,27,7000.0
23,2,7000.0
23,7,7000.0
23,22,7000.0
23,24,7000.0
23,2,7000.0
23,9,7000.0
23,22,7000.0
23,24,7000.0
24,1,7000
24,11,7000
24,27,7000
24,23,7000
24,35,7000
24,36,7000
24,23,7000
24,23,7000
24,27,7000
24,1,7000
24,23,7000
25,17,7000
25,19,7000
26,1,4661.2016
26,1,7000.0
27,17,7000
27,19,7000
27,25,7000
27,17,7000
27,17,7000
27,17,7000
29,28,7000.0
29,28,6517.2415
29,31,6517.2415
