Start_Node,End_Node,Weight
1,3,4683.71145
1,4,4683.71145
1,5,4683.71145
1,7,4683.71145
1,11,4683.71145
1,16,4683.71145
1,17,4683.71145
1,18,4683.71145
1,23,4683.71145
1,24,4683.71145
1,2,5409.747200000001
1,3,5409.747200000001
1,4,5409.747200000001
1,5,5409.747200000001
1,7,5409.747200000001
1,11,5409.747200000001
1,16,5409.747200000001
1,17,5409.747200000001
1,23,5409.747200000001
1,24,5409.747200000001
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,7,0.0
1,11,0.0
1,16,0.0
1,17,0.0
1,23,0.0
1,24,0.0
2,1,6681.999999999999
2,3,6681.999999999999
2,4,6681.999999999999
2,5,6681.999999999999
2,7,6681.999999999999
2,11,6681.999999999999
2,16,6681.999999999999
2,17,6681.999999999999
2,23,6681.999999999999
2,24,6681.999999999999
2,1,6562.86
2,3,6562.86
2,4,6562.86
2,5,6562.86
2,7,6562.86
2,11,6562.86
2,17,6562.86
2,23,6562.86
2,24,6562.86
2,1,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,7,0.0
2,11,0.0
2,17,0.0
2,23,0.0
2,24,0.0
3,1,6514.368
3,2,6514.368
3,4,6514.368
3,5,6514.368
3,7,6514.368
3,11,6514.368
3,17,6514.368
3,23,6514.368
3,24,6514.368
3,1,6502.722000000001
3,4,6502.722000000001
3,5,6502.722000000001
3,7,6502.722000000001
3,11,6502.722000000001
3,17,6502.722000000001
3,23,6502.722000000001
3,24,6502.722000000001
3,1,0.0
3,4,0.0
3,5,0.0
3,7,0.0
3,11,0.0
3,17,0.0
3,23,0.0
3,24,0.0
4,1,4731.767774999999
4,3,4731.767774999999
4,5,4731.767774999999
4,7,4731.767774999999
4,11,4731.767774999999
4,17,4731.767774999999
4,23,4731.767774999999
4,24,4731.767774999999
4,1,1646.9570999999999
4,3,1646.9570999999999
4,5,1646.9570999999999
4,7,1646.9570999999999
4,11,1646.9570999999999
4,17,1646.9570999999999
4,23,1646.9570999999999
4,24,1646.9570999999999
5,1,3851.6349999999998
5,3,3851.6349999999998
5,4,3851.6349999999998
5,7,3851.6349999999998
5,11,3851.6349999999998
5,17,3851.6349999999998
5,23,3851.6349999999998
5,24,3851.6349999999998
5,1,6759.0
5,3,6759.0
5,4,6759.0
5,7,6759.0
5,11,6759.0
5,17,6759.0
5,23,6759.0
5,24,6759.0
6,1,6416.460750000001
6,3,6416.460750000001
6,4,6416.460750000001
6,5,6416.460750000001
6,11,6416.460750000001
6,23,6416.460750000001
6,1,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,11,0.0
6,17,0.0
6,23,0.0
6,24,0.0
7,1,3946.3935000000006
7,3,3946.3935000000006
7,4,3946.3935000000006
7,5,3946.3935000000006
7,6,3946.3935000000006
7,17,3946.3935000000006
7,23,3946.3935000000006
7,24,3946.3935000000006
7,1,719.4825000000001
7,3,719.4825000000001
7,4,719.4825000000001
7,5,719.4825000000001
7,6,719.4825000000001
7,17,719.4825000000001
7,23,719.4825000000001
7,24,719.4825000000001
8,1,1769.2486750000003
8,2,1769.2486750000003
8,26,1769.2486750000003
8,22,897.4830500000002
8,26,897.4830500000002
8,32,897.4830500000002
9,1,2258.3364
9,2,2258.3364
9,26,2258.3364
9,22,2899.2465500000003
9,26,2899.2465500000003
9,32,2899.2465500000003
10,1,4354.4733750000005
10,2,4354.4733750000005
10,26,4354.4733750000005
10,22,2754.5
10,26,2754.5
10,32,2754.5
11,1,5610.528149999999
11,2,5610.528149999999
11,26,5610.528149999999
11,22,55.516175000000004
11,26,55.516175000000004
11,32,55.516175000000004
12,1,4739.451
12,2,4739.451
12,26,4739.451
12,22,383.21595
12,26,383.21595
12,32,383.21595
13,1,4029.2217
13,2,4029.2217
13,26,4029.2217
13,22,771.3895000000001
13,26,771.3895000000001
13,32,771.3895000000001
14,1,1202.3284
14,2,1202.3284
14,26,1202.3284
14,22,0.0
14,26,0.0
14,32,0.0
22,1,6592.203125
22,2,6592.203125
22,26,6592.203125
22,1,2129.5
22,4,2129.5
22,5,2129.5
22,32,2129.5
23,1,6419.084375
23,2,6419.084375
23,22,6419.084375
23,26,6419.084375
23,1,1605.5127000000002
23,4,1605.5127000000002
23,5,1605.5127000000002
23,22,1605.5127000000002
23,32,1605.5127000000002
24,1,6585.235175
24,2,6585.235175
24,22,6585.235175
24,26,6585.235175
24,1,0.0
24,4,0.0
24,5,0.0
24,22,0.0
24,32,0.0
25,1,6828.0
25,26,6828.0
25,1,6761.45
25,26,6761.45
25,1,6787.744750000001
25,26,6787.744750000001
25,1,6884.999999999999
