Start_Node,End_Node,Weight
1,2,6770.999999999999
1,3,6770.999999999999
1,4,6770.999999999999
1,5,6770.999999999999
1,11,6770.999999999999
1,17,6770.999999999999
1,23,6770.999999999999
1,24,6770.999999999999
1,3,6750.0
1,4,6750.0
1,5,6750.0
1,7,6750.0
1,11,6750.0
1,16,6750.0
1,17,6750.0
1,23,6750.0
1,24,6750.0
1,2,6798.0
1,3,6798.0
1,4,6798.0
1,5,6798.0
1,7,6798.0
1,11,6798.0
1,16,6798.0
1,17,6798.0
1,23,6798.0
1,24,6798.0
1,2,6739.0
1,3,6739.0
1,4,6739.0
1,5,6739.0
1,7,6739.0
1,11,6739.0
1,16,6739.0
1,17,6739.0
1,23,6739.0
1,24,6739.0
1,2,5717.65425
1,3,5717.65425
1,4,5717.65425
1,5,5717.65425
1,7,5717.65425
1,11,5717.65425
1,16,5717.65425
1,17,5717.65425
1,23,5717.65425
1,24,5717.65425
1,2,6544.0
1,3,6544.0
1,4,6544.0
1,5,6544.0
1,7,6544.0
1,11,6544.0
1,16,6544.0
1,17,6544.0
1,23,6544.0
1,24,6544.0
1,2,5727.6
1,3,5727.6
1,4,5727.6
1,5,5727.6
1,7,5727.6
1,11,5727.6
1,16,5727.6
1,17,5727.6
2,1,6958.0
2,3,6958.0
2,4,6958.0
2,5,6958.0
2,7,6958.0
2,11,6958.0
2,16,6958.0
2,17,6958.0
2,23,6958.0
2,24,6958.0
2,1,6684.9156
2,3,6684.9156
2,4,6684.9156
2,5,6684.9156
2,7,6684.9156
2,11,6684.9156
2,16,6684.9156
2,17,6684.9156
2,23,6684.9156
2,24,6684.9156
2,1,6633.0
2,3,6633.0
2,4,6633.0
2,5,6633.0
2,7,6633.0
2,11,6633.0
2,23,6633.0
2,24,6633.0
2,1,5685.5029
2,3,5685.5029
2,4,5685.5029
2,5,5685.5029
2,7,5685.5029
2,11,5685.5029
2,17,5685.5029
2,24,5685.5029
3,1,6894.0
3,2,6894.0
3,4,6894.0
3,5,6894.0
3,7,6894.0
3,11,6894.0
3,17,6894.0
3,23,6894.0
3,24,6894.0
3,1,6620.999999999999
3,4,6620.999999999999
3,5,6620.999999999999
3,7,6620.999999999999
3,11,6620.999999999999
3,17,6620.999999999999
3,23,6620.999999999999
3,24,6620.999999999999
5,1,6650.0
5,3,6650.0
5,17,6650.0
5,23,6650.0
5,1,5199.25
5,3,5199.25
5,7,5199.25
5,11,5199.25
5,17,5199.25
5,23,5199.25
10,3,5702.225
10,1,5099.64
10,9,5099.64
10,14,5099.64
10,15,5099.64
10,19,5099.64
10,22,5099.64
10,14,5031.4654
10,17,5031.4654
10,1,4202.7789999999995
10,14,4202.7789999999995
10,27,4202.7789999999995
10,14,4221.81875
14,1,6403.200000000001
14,9,6403.200000000001
14,10,6403.200000000001
14,26,6403.200000000001
14,10,5825.6964
14,1,5546.559899999999
14,9,5546.559899999999
14,10,5546.559899999999
14,10,6870.999999999999
14,17,6870.999999999999
16,37,6650.0
22,1,5293.02105
22,2,5293.02105
22,1,6670.999999999999
22,2,6670.999999999999
22,3,6670.999999999999
22,2,6532.678400000001
22,3,6532.678400000001
22,3,6653.0
22,4,6653.0
22,24,6653.0
22,2,6318.026975000001
22,1,2102.6501
22,2,2102.6501
22,24,2102.6501
22,27,2102.6501
22,1,6581.999999999999
22,1,6823.999999999999
22,2,6823.999999999999
22,24,6823.999999999999
22,27,6823.999999999999
22,2,5818.753250000001
22,17,5818.753250000001
22,1,6759.0
22,3,6759.0
22,4,6759.0
22,5,6759.0
22,9,6759.0
22,13,6759.0
22,28,6759.0
22,29,6759.0
22,30,6759.0
22,31,6759.0
22,32,6759.0
22,1,6759.0
22,3,6759.0
22,4,6759.0
22,5,6759.0
22,9,6759.0
22,12,6759.0
22,1,824.4818
22,3,824.4818
22,4,824.4818
22,5,824.4818
22,7,824.4818
22,32,824.4818
26,22,6612.0
28,30,6679.000000000001
