Start_Node,End_Node,Weight
1,2,6030.075
1,3,6030.075
1,4,6030.075
1,5,6030.075
1,7,6030.075
1,11,6030.075
1,16,6030.075
1,17,6030.075
1,23,6030.075
1,24,6030.075
1,2,6759.0
1,3,6759.0
1,4,6759.0
1,5,6759.0
1,7,6759.0
1,11,6759.0
1,16,6759.0
1,17,6759.0
1,23,6759.0
1,24,6759.0
1,2,6076.5705
1,3,6076.5705
1,4,6076.5705
1,5,6076.5705
1,7,6076.5705
1,11,6076.5705
1,16,6076.5705
1,17,6076.5705
1,23,6076.5705
1,24,6076.5705
1,2,5161.132
1,3,5161.132
1,4,5161.132
1,5,5161.132
1,7,5161.132
1,11,5161.132
1,16,5161.132
1,17,5161.132
1,23,5161.132
1,24,5161.132
2,1,6759.0
2,3,6759.0
2,4,6759.0
2,5,6759.0
2,7,6759.0
2,11,6759.0
2,17,6759.0
2,23,6759.0
2,24,6759.0
2,1,5813.7114
2,3,5813.7114
2,4,5813.7114
2,5,5813.7114
2,7,5813.7114
2,11,5813.7114
2,17,5813.7114
2,23,5813.7114
2,24,5813.7114
2,1,6635.587
2,3,6635.587
2,4,6635.587
2,5,6635.587
2,7,6635.587
2,11,6635.587
2,17,6635.587
2,23,6635.587
2,24,6635.587
3,1,6654.2454
3,4,6654.2454
3,5,6654.2454
3,7,6654.2454
3,11,6654.2454
3,17,6654.2454
3,23,6654.2454
3,24,6654.2454
3,1,4131.75
3,4,4131.75
3,5,4131.75
3,7,4131.75
3,11,4131.75
3,17,4131.75
3,23,4131.75
3,24,4131.75
3,1,5776.6224999999995
3,4,5776.6224999999995
3,5,5776.6224999999995
3,7,5776.6224999999995
3,11,5776.6224999999995
3,17,5776.6224999999995
3,23,5776.6224999999995
3,24,5776.6224999999995
4,1,5910.2429999999995
4,3,5910.2429999999995
4,5,5910.2429999999995
4,7,5910.2429999999995
4,11,5910.2429999999995
4,17,5910.2429999999995
4,23,5910.2429999999995
4,24,5910.2429999999995
4,1,5030.5992
4,3,5030.5992
4,5,5030.5992
4,7,5030.5992
4,11,5030.5992
4,17,5030.5992
4,23,5030.5992
4,24,5030.5992
4,1,0.0
4,3,0.0
4,5,0.0
4,7,0.0
4,11,0.0
4,17,0.0
4,23,0.0
4,24,0.0
5,1,5611.602
5,3,5611.602
5,4,5611.602
5,7,5611.602
5,11,5611.602
5,17,5611.602
5,23,5611.602
5,24,5611.602
5,1,5748.3384
5,3,5748.3384
5,4,5748.3384
5,7,5748.3384
5,11,5748.3384
5,17,5748.3384
5,23,5748.3384
5,24,5748.3384
5,1,6304.1134
5,3,6304.1134
5,4,6304.1134
5,7,6304.1134
5,11,6304.1134
5,17,6304.1134
5,23,6304.1134
5,24,6304.1134
6,1,6465.8484
6,3,6465.8484
6,5,6465.8484
6,7,6465.8484
6,11,6465.8484
6,23,6465.8484
6,1,6084.858000000001
6,3,6084.858000000001
6,5,6084.858000000001
6,7,6084.858000000001
6,11,6084.858000000001
6,23,6084.858000000001
6,24,6084.858000000001
6,1,5802.1572
6,3,5802.1572
6,5,5802.1572
6,7,5802.1572
6,23,5802.1572
6,24,5802.1572
7,1,5845.897199999999
7,3,5845.897199999999
7,4,5845.897199999999
7,5,5845.897199999999
7,6,5845.897199999999
7,17,5845.897199999999
7,23,5845.897199999999
7,24,5845.897199999999
7,1,3847.7364
7,3,3847.7364
7,4,3847.7364
7,5,3847.7364
7,6,3847.7364
7,17,3847.7364
7,23,3847.7364
7,24,3847.7364
7,1,4721.0772
7,3,4721.0772
7,4,4721.0772
7,5,4721.0772
7,6,4721.0772
7,17,4721.0772
7,23,4721.0772
7,24,4721.0772
8,7,3807.219
8,23,3807.219
8,27,6452.7099
8,2,3955.8204
9,7,6759.0
9,23,6759.0
9,27,3996.3555
9,2,4382.1414
10,7,6335.318400000001
10,23,6335.318400000001
10,27,5193.5
10,2,0.0
11,7,6759.0
11,23,6759.0
11,27,5367.25
11,2,4504.3164
12,7,6023.1009
12,23,6023.1009
12,27,3903.4
12,2,4202.961899999999
13,7,6759.0
13,23,6759.0
13,27,2794.1198999999997
13,2,4342.2225
14,7,6759.0
14,23,6759.0
14,27,5813.7114
14,2,5605.1604
15,7,4916.548
15,22,4916.548
15,27,4786.469999999999
15,2,5046.8739
15,1,5046.8739
15,22,5046.8739
16,7,5969.220399999999
16,22,5969.220399999999
16,27,3988.5264
16,2,4319.490900000001
16,1,4319.490900000001
16,22,4319.490900000001
17,7,6596.0229
17,22,6596.0229
17,27,6759.0
17,2,4935.2844000000005
17,1,4935.2844000000005
17,22,4935.2844000000005
18,7,5409.366
18,22,5409.366
18,27,5813.7114
18,2,4822.3224
18,1,4822.3224
18,22,4822.3224
19,7,6413.021999999999
19,22,6413.021999999999
19,27,4131.75
19,2,6188.7055
19,1,6188.7055
19,22,6188.7055
20,7,6426.7824
20,22,6426.7824
20,27,5850.280000000001
20,2,5891.9964
20,1,5891.9964
20,22,5891.9964
21,7,6759.0
21,22,6759.0
21,27,5367.25
21,2,5934.496899999999
21,1,5934.496899999999
21,22,5934.496899999999
22,7,5806.523999999999
22,7,5137.0167
22,27,5137.0167
22,1,4422.2367
22,2,4422.2367
22,26,4422.2367
23,7,6224.7999
23,7,6521.862899999999
23,27,6521.862899999999
23,1,6022.457200000001
23,2,6022.457200000001
23,26,6022.457200000001
24,7,6326.8643999999995
24,7,4438.907200000001
24,27,4438.907200000001
24,1,5108.250900000001
24,2,5108.250900000001
24,26,5108.250900000001
25,7,6597.678000000001
25,7,5325.294
25,27,5325.294
25,1,6129.621999999999
25,2,6129.621999999999
25,26,6129.621999999999
26,7,5944.897199999999
26,7,3613.8060000000005
26,27,3613.8060000000005
26,1,5773.812
26,2,5773.812
27,7,6660.5772
27,7,6417.6072
27,1,6236.100399999999
27,2,6236.100399999999
27,26,6236.100399999999
28,7,5502.5844
28,7,3807.219
28,27,3807.219
28,1,3921.9773999999993
28,2,3921.9773999999993
28,26,3921.9773999999993
29,7,6276.865
29,7,4326.5004
29,27,4326.5004
29,1,5793.4284
29,2,5793.4284
29,26,5793.4284
